Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Benchmark,sim_ticks,BCE
16,1,16,4,1024,16,2,fft,1383191976,176
16,1,16,4,1024,2,2,fft,1385436935,176
16,1,16,4,2048,64,3,fft,1385143990,208
16,1,8,8,2048,64,3,fft,1392467615,144
16,1,8,8,1024,2,2,fft,1391997474,112
16,1,8,8,1024,8,2,fft,1415450222,112
16,1,8,4,2048,16,3,lu,47409792500,144
16,1,16,2,2048,16,3,lu,47474896250,208
16,1,8,2,2048,16,3,lu,47854165000,144
16,1,8,4,2048,32,3,lu,48007938750,144
16,1,16,2,2048,32,3,lu,48078610000,208
16,1,8,2,2048,32,3,lu,48460823750,144
16,1,8,4,2048,4,3,lu,48806458750,144
16,1,16,2,2048,4,3,lu,48812373750,208
16,1,8,4,2048,2,3,lu,48813981250,144
16,1,8,4,2048,8,3,lu,48813643750,144
16,1,16,2,2048,2,3,lu,48830516250,208
16,1,16,2,2048,8,3,lu,48873802500,208
16,1,8,2,2048,2,3,lu,49203635000,144
16,1,8,4,2048,64,3,lu,49210731250,144
16,1,8,2,2048,4,3,lu,49216640000,144
16,1,8,2,2048,8,3,lu,49225186250,144
16,1,16,2,2048,64,3,lu,49290757500,208
16,1,8,2,2048,64,3,lu,49675383750,144
16,1,8,4,1024,16,2,lu,54672522500,112
16,1,8,4,1024,8,2,lu,54685228750,112
16,1,8,4,1024,32,2,lu,54698286250,112
16,1,16,2,1024,32,2,lu,54715238750,176
16,1,16,2,1024,16,2,lu,54731863750,176
16,1,16,2,1024,8,2,lu,54744542500,176
16,1,8,4,1024,4,2,lu,54933293750,112
16,1,8,4,1024,64,3,lu,54935227500,112
16,1,16,2,1024,4,2,lu,54951968750,176
16,1,16,2,1024,64,3,lu,54952447500,176
16,1,8,2,1024,32,2,lu,54956217500,112
16,1,8,2,1024,16,2,lu,54967993750,112
16,1,8,2,1024,8,2,lu,54969591250,112
16,1,8,4,1024,2,2,lu,54986123750,112
16,1,16,2,1024,2,2,lu,55020643750,176
16,1,8,2,1024,4,2,lu,55143308750,112
16,1,8,2,1024,2,2,lu,55193298750,112
16,1,8,2,1024,64,3,lu,55228700000,112
16,1,16,2,2048,64,3,ocean,14456063750,208
16,1,16,2,2048,32,3,ocean,14456867500,208
16,1,16,2,2048,16,3,ocean,14495198750,208
16,1,16,2,2048,2,3,ocean,14577360000,208
16,1,16,2,2048,4,3,ocean,14736938750,208
16,1,16,2,2048,8,3,ocean,14742877500,208
16,1,16,2,1024,32,2,ocean,15506728750,176
16,1,16,2,1024,16,2,ocean,15518051250,176
16,1,16,2,1024,64,3,ocean,15551100000,176
16,1,16,2,1024,8,2,ocean,15664178750,176
16,1,16,2,1024,4,2,ocean,16454142500,176
16,1,16,2,1024,2,2,ocean,16515316250,176
16,1,8,4,2048,2,3,ocean,19964621250,144
16,1,8,2,2048,2,3,ocean,20014880000,144
16,1,8,4,2048,4,3,ocean,20113445000,144
16,1,8,4,2048,8,3,ocean,20150975000,144
16,1,8,2,2048,4,3,ocean,20184968750,144
16,1,8,4,2048,64,3,ocean,20208025000,144
16,1,8,4,2048,32,3,ocean,20208821250,144
16,1,8,2,2048,8,3,ocean,20217250000,144
16,1,8,4,2048,16,3,ocean,20223551250,144
16,1,8,2,2048,32,3,ocean,20234420000,144
16,1,8,2,2048,16,3,ocean,20257548750,144
16,1,8,2,2048,64,3,ocean,20259671250,144
16,1,8,4,1024,32,2,ocean,20753472500,112
16,1,8,2,1024,32,2,ocean,20811838750,112
16,1,8,4,1024,64,3,ocean,20815425000,112
16,1,8,4,1024,16,2,ocean,20821975000,112
16,1,8,2,1024,64,3,ocean,20858490000,112
16,1,8,2,1024,16,2,ocean,20872935000,112
16,1,8,4,1024,8,2,ocean,20932943750,112
16,1,8,2,1024,8,2,ocean,21013295000,112
16,1,8,4,1024,2,2,ocean,21604281250,112
16,1,8,4,1024,4,2,ocean,21628037500,112
16,1,8,2,1024,2,2,ocean,21668247500,112
16,1,8,2,1024,4,2,ocean,21720480000,112
16,1,16,2,2048,64,3,radix,9018413750,208
16,1,16,2,2048,4,3,radix,9035448750,208
16,1,16,2,2048,2,3,radix,9035790000,208
16,1,16,2,2048,32,3,radix,9039443750,208
