Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
2,0.6,16,32,2048,8,2,74
2,0.6,16,32,2048,16,2,74
2,0.6,16,32,2048,32,2,74
2,0.6,16,32,2048,64,2,74
2,0.7,32,2,1024,2,2,50
2,0.7,32,2,1024,4,2,50
2,0.7,32,2,1024,8,2,50
2,0.7,32,2,1024,16,2,50
2,0.7,32,2,1024,32,2,50
2,0.7,32,2,1024,64,2,50
2,0.7,32,2,2048,2,2,82
2,0.7,32,2,2048,4,2,82
2,0.7,32,2,2048,8,2,82
2,0.7,32,2,2048,16,2,82
2,0.7,32,2,2048,32,2,82
2,0.7,32,2,2048,64,3,82
2,0.7,32,4,1024,2,2,50
2,0.7,32,4,1024,4,2,50
2,0.7,32,4,1024,8,2,50
2,0.7,32,4,1024,16,2,50
2,0.7,32,4,1024,32,2,50
2,0.7,32,4,1024,64,2,50
2,0.7,32,4,2048,2,2,82
2,0.7,32,4,2048,4,2,82
2,0.7,32,4,2048,8,2,82
2,0.7,32,4,2048,16,2,82
2,0.7,32,4,2048,32,2,82
2,0.7,32,4,2048,64,3,82
2,0.6,32,8,1024,2,2,50
2,0.6,32,8,1024,4,2,50
2,0.6,32,8,1024,8,2,50
2,0.6,32,8,1024,16,2,50
2,0.6,32,8,1024,32,2,50
2,0.6,32,8,1024,64,2,50
2,0.6,32,8,2048,2,2,82
2,0.6,32,8,2048,4,2,82
2,0.6,32,8,2048,8,2,82
2,0.6,32,8,2048,16,2,82
2,0.6,32,8,2048,32,2,82
2,0.6,32,8,2048,64,2,82
2,0.6,32,16,1024,2,2,50
2,0.6,32,16,1024,4,2,50
2,0.6,32,16,1024,8,2,50
2,0.6,32,16,1024,16,2,50
2,0.6,32,16,1024,32,2,50
2,0.6,32,16,1024,64,2,50
2,0.6,32,16,2048,2,2,82
2,0.6,32,16,2048,4,2,82
2,0.6,32,16,2048,8,2,82
2,0.6,32,16,2048,16,2,82
2,0.6,32,16,2048,32,2,82
2,0.6,32,16,2048,64,2,82
2,0.6,32,32,1024,2,2,50
2,0.6,32,32,1024,4,2,50
2,0.6,32,32,1024,8,2,50
2,0.6,32,32,1024,16,2,50
2,0.6,32,32,1024,32,2,50
2,0.6,32,32,1024,64,2,50
2,0.6,32,32,2048,2,2,82
2,0.6,32,32,2048,4,2,82
2,0.6,32,32,2048,8,2,82
2,0.6,32,32,2048,16,2,82
2,0.6,32,32,2048,32,2,82
2,0.6,32,32,2048,64,2,82
2,0.5,32,64,1024,2,2,50
2,0.5,32,64,1024,4,2,50
2,0.5,32,64,1024,8,2,50
2,0.5,32,64,1024,16,2,50
2,0.5,32,64,1024,32,2,50
2,0.5,32,64,1024,64,2,50
2,0.5,32,64,2048,2,2,82
2,0.5,32,64,2048,4,2,82
2,0.5,32,64,2048,8,2,82
2,0.5,32,64,2048,16,2,82
2,0.5,32,64,2048,32,2,82
2,0.5,32,64,2048,64,2,82
2,0.6,64,2,1024,2,2,66
2,0.6,64,2,1024,4,2,66
2,0.6,64,2,1024,8,2,66
2,0.6,64,2,1024,16,2,66
2,0.6,64,2,1024,32,2,66
2,0.6,64,2,1024,64,2,66
2,0.6,64,2,2048,2,2,98
2,0.6,64,2,2048,4,2,98
2,0.6,64,2,2048,8,2,98
2,0.6,64,2,2048,16,2,98
2,0.6,64,2,2048,32,2,98
2,0.6,64,2,2048,64,2,98
2,0.6,64,4,1024,2,2,66
2,0.6,64,4,1024,4,2,66
2,0.6,64,4,1024,8,2,66
2,0.6,64,4,1024,16,2,66
2,0.6,64,4,1024,32,2,66
2,0.6,64,4,1024,64,2,66
2,0.6,64,4,2048,2,2,98
2,0.6,64,4,2048,4,2,98
2,0.6,64,4,2048,8,2,98
2,0.6,64,4,2048,16,2,98
2,0.6,64,4,2048,32,2,98
2,0.6,64,4,2048,64,2,98
2,0.5,64,8,1024,2,2,66
2,0.5,64,8,1024,4,2,66
2,0.5,64,8,1024,8,2,66
2,0.5,64,8,1024,16,2,66
2,0.5,64,8,1024,32,2,66
2,0.5,64,8,1024,64,2,66
2,0.5,64,8,2048,2,2,98
2,0.5,64,8,2048,4,2,98
2,0.5,64,8,2048,8,2,98
2,0.5,64,8,2048,16,2,98
2,0.5,64,8,2048,32,2,98
2,0.5,64,8,2048,64,2,98
2,0.6,64,16,1024,2,2,66
2,0.6,64,16,1024,4,2,66
2,0.6,64,16,1024,8,2,66
2,0.6,64,16,1024,16,2,66
2,0.6,64,16,1024,32,2,66
2,0.6,64,16,1024,64,2,66
2,0.6,64,16,2048,2,2,98
2,0.6,64,16,2048,4,2,98
2,0.6,64,16,2048,8,2,98
2,0.6,64,16,2048,16,2,98
2,0.6,64,16,2048,32,2,98
2,0.6,64,16,2048,64,2,98
2,0.5,64,32,1024,2,2,66
2,0.5,64,32,1024,4,2,66
2,0.5,64,32,1024,8,2,66
2,0.5,64,32,1024,16,2,66
2,0.5,64,32,1024,32,2,66
2,0.5,64,32,1024,64,2,66
2,0.5,64,32,2048,2,2,98
2,0.5,64,32,2048,4,2,98
2,0.5,64,32,2048,8,2,98
2,0.5,64,32,2048,16,2,98
2,0.5,64,32,2048,32,2,98
2,0.5,64,32,2048,64,2,98
2,0.5,64,64,1024,2,2,66
2,0.5,64,64,1024,4,2,66
2,0.5,64,64,1024,8,2,66
2,0.5,64,64,1024,16,2,66
2,0.5,64,64,1024,32,2,66
2,0.5,64,64,1024,64,2,66
2,0.5,64,64,2048,2,2,98
2,0.5,64,64,2048,4,2,98
2,0.5,64,64,2048,8,2,98
2,0.5,64,64,2048,16,2,98
2,0.5,64,64,2048,32,2,98
2,0.5,64,64,2048,64,2,98
2,0.5,128,2,1024,2,2,98
2,0.5,128,2,1024,4,2,98
2,0.5,128,2,1024,8,2,98
2,0.5,128,2,1024,16,2,98
2,0.5,128,2,1024,32,2,98
2,0.5,128,2,1024,64,2,98
2,0.5,128,4,1024,2,2,98
2,0.5,128,4,1024,4,2,98
2,0.5,128,4,1024,8,2,98
2,0.5,128,4,1024,16,2,98
2,0.5,128,4,1024,32,2,98
2,0.5,128,4,1024,64,2,98
2,0.5,128,8,1024,2,2,98
2,0.5,128,8,1024,4,2,98
2,0.5,128,8,1024,8,2,98
2,0.5,128,8,1024,16,2,98
2,0.5,128,8,1024,32,2,98
2,0.5,128,8,1024,64,2,98
2,0.5,128,16,1024,2,2,98
2,0.5,128,16,1024,4,2,98
2,0.5,128,16,1024,8,2,98
2,0.5,128,16,1024,16,2,98
2,0.5,128,16,1024,32,2,98
2,0.5,128,16,1024,64,2,98
2,0.5,128,32,1024,2,2,98
2,0.5,128,32,1024,4,2,98
2,0.5,128,32,1024,8,2,98
2,0.5,128,32,1024,16,2,98
2,0.5,128,32,1024,32,2,98
2,0.5,128,32,1024,64,2,98
2,0.5,128,64,1024,2,2,98
2,0.5,128,64,1024,4,2,98
2,0.5,128,64,1024,8,2,98
2,0.5,128,64,1024,16,2,98
2,0.5,128,64,1024,32,2,98
2,0.5,128,64,1024,64,2,98
4,1.1,2,2,1024,2,3,37
4,1.1,2,2,1024,4,3,37
4,1.1,2,2,1024,8,3,37
4,1.1,2,2,1024,16,3,37
4,1.1,2,2,1024,32,3,37
4,1.1,2,2,1024,64,3,37
4,1.1,2,2,2048,2,3,69
4,1.1,2,2,2048,4,3,69
4,1.1,2,2,2048,8,3,69
4,1.1,2,2,2048,16,3,69
4,1.1,2,2,2048,32,3,69
4,1.1,2,2,2048,64,4,69
4,0.8,2,4,1024,2,2,37
4,0.8,2,4,1024,4,2,37
4,0.8,2,4,1024,8,2,37
4,0.8,2,4,1024,16,2,37
4,0.8,2,4,1024,32,2,37
4,0.8,2,4,1024,64,3,37
4,0.8,2,4,2048,2,3,69
4,0.8,2,4,2048,4,3,69
4,0.8,2,4,2048,8,3,69
4,0.8,2,4,2048,16,3,69
4,0.8,2,4,2048,32,3,69
4,0.8,2,4,2048,64,3,69
4,0.8,4,2,1024,2,2,38
4,0.8,4,2,1024,4,2,38
4,0.8,4,2,1024,8,2,38
4,0.8,4,2,1024,16,2,38
4,0.8,4,2,1024,32,2,38
4,0.8,4,2,1024,64,3,38
4,0.8,4,2,2048,2,3,70
4,0.8,4,2,2048,4,3,70
4,0.8,4,2,2048,8,3,70
4,0.8,4,2,2048,16,3,70
4,0.8,4,2,2048,32,3,70
4,0.8,4,2,2048,64,3,70
4,0.8,4,4,1024,2,2,38
4,0.8,4,4,1024,4,2,38
4,0.8,4,4,1024,8,2,38
4,0.8,4,4,1024,16,2,38
4,0.8,4,4,1024,32,2,38
4,0.8,4,4,1024,64,3,38
4,0.8,4,4,2048,2,3,70
4,0.8,4,4,2048,4,3,70
4,0.8,4,4,2048,8,3,70
4,0.8,4,4,2048,16,3,70
4,0.8,4,4,2048,32,3,70
4,0.8,4,4,2048,64,3,70
4,0.8,4,8,1024,2,2,38
4,0.8,4,8,1024,4,2,38
4,0.8,4,8,1024,8,2,38
4,0.8,4,8,1024,16,2,38
4,0.8,4,8,1024,32,2,38
4,0.8,4,8,1024,64,3,38
4,0.8,4,8,2048,2,3,70
4,0.8,4,8,2048,4,3,70
4,0.8,4,8,2048,8,3,70
4,0.8,4,8,2048,16,3,70
4,0.8,4,8,2048,32,3,70
4,0.8,4,8,2048,64,3,70
4,0.8,8,2,1024,2,2,40
4,0.8,8,2,1024,4,2,40
4,0.8,8,2,1024,8,2,40
4,0.8,8,2,1024,16,2,40
4,0.8,8,2,1024,32,2,40
4,0.8,8,2,1024,64,3,40
4,0.8,8,2,2048,2,3,72
4,0.8,8,2,2048,4,3,72
4,0.8,8,2,2048,8,3,72
4,0.8,8,2,2048,16,3,72
4,0.8,8,2,2048,32,3,72
4,0.8,8,2,2048,64,3,72
4,0.8,8,4,1024,2,2,40
4,0.8,8,4,1024,4,2,40
4,0.8,8,4,1024,8,2,40
4,0.8,8,4,1024,16,2,40
4,0.8,8,4,1024,32,2,40
4,0.8,8,4,1024,64,3,40
4,0.8,8,4,2048,2,3,72
4,0.8,8,4,2048,4,3,72
4,0.8,8,4,2048,8,3,72
4,0.8,8,4,2048,16,3,72
4,0.8,8,4,2048,32,3,72
4,0.8,8,4,2048,64,3,72
4,0.7,8,8,1024,2,2,40
4,0.7,8,8,1024,4,2,40
4,0.7,8,8,1024,8,2,40
4,0.7,8,8,1024,16,2,40
4,0.7,8,8,1024,32,2,40
4,0.7,8,8,1024,64,2,40
4,0.7,8,8,2048,2,2,72
4,0.7,8,8,2048,4,2,72
4,0.7,8,8,2048,8,2,72
4,0.7,8,8,2048,16,2,72
4,0.7,8,8,2048,32,2,72
4,0.7,8,8,2048,64,3,72
4,0.7,8,16,1024,2,2,40
4,0.7,8,16,1024,4,2,40
4,0.7,8,16,1024,8,2,40
4,0.7,8,16,1024,16,2,40
4,0.7,8,16,1024,32,2,40
4,0.7,8,16,1024,64,2,40
4,0.7,8,16,2048,2,2,72
4,0.7,8,16,2048,4,2,72
4,0.7,8,16,2048,8,2,72
4,0.7,8,16,2048,16,2,72
4,0.7,8,16,2048,32,2,72
4,0.7,8,16,2048,64,3,72
4,0.8,16,2,1024,2,2,44
4,0.8,16,2,1024,4,2,44
4,0.8,16,2,1024,8,2,44
4,0.8,16,2,1024,16,2,44
4,0.8,16,2,1024,32,2,44
4,0.8,16,2,1024,64,3,44
4,0.8,16,2,2048,2,3,76
4,0.8,16,2,2048,4,3,76
4,0.8,16,2,2048,8,3,76
4,0.8,16,2,2048,16,3,76
4,0.8,16,2,2048,32,3,76
4,0.8,16,2,2048,64,3,76
4,0.7,16,4,1024,2,2,44
4,0.7,16,4,1024,4,2,44
4,0.7,16,4,1024,8,2,44
4,0.7,16,4,1024,16,2,44
4,0.7,16,4,1024,32,2,44
4,0.7,16,4,1024,64,2,44
4,0.7,16,4,2048,2,2,76
4,0.7,16,4,2048,4,2,76
4,0.7,16,4,2048,8,2,76
4,0.7,16,4,2048,16,2,76
4,0.7,16,4,2048,32,2,76
4,0.7,16,4,2048,64,3,76
4,0.6,16,8,1024,2,2,44
4,0.6,16,8,1024,4,2,44
4,0.6,16,8,1024,8,2,44
4,0.6,16,8,1024,16,2,44
4,0.6,16,8,1024,32,2,44
4,0.6,16,8,1024,64,2,44
4,0.6,16,8,2048,2,2,76
4,0.6,16,8,2048,4,2,76
4,0.6,16,8,2048,8,2,76
4,0.6,16,8,2048,16,2,76
4,0.6,16,8,2048,32,2,76
4,0.6,16,8,2048,64,2,76
4,0.6,16,16,1024,2,2,44
4,0.6,16,16,1024,4,2,44
4,0.6,16,16,1024,8,2,44
4,0.6,16,16,1024,16,2,44
4,0.6,16,16,1024,32,2,44
4,0.6,16,16,1024,64,2,44
4,0.6,16,16,2048,2,2,76
4,0.6,16,16,2048,4,2,76
4,0.6,16,16,2048,8,2,76
4,0.6,16,16,2048,16,2,76
4,0.6,16,16,2048,32,2,76
4,0.6,16,16,2048,64,2,76
4,0.6,16,32,1024,2,2,44
4,0.6,16,32,1024,4,2,44
4,0.6,16,32,1024,8,2,44
4,0.6,16,32,1024,16,2,44
4,0.6,16,32,1024,32,2,44
4,0.6,16,32,1024,64,2,44
4,0.6,16,32,2048,2,2,76
4,0.6,16,32,2048,4,2,76
4,0.6,16,32,2048,8,2,76
4,0.6,16,32,2048,16,2,76
4,0.6,16,32,2048,32,2,76
4,0.6,16,32,2048,64,2,76
4,0.7,32,2,1024,2,2,52
4,0.7,32,2,1024,4,2,52
4,0.7,32,2,1024,8,2,52
4,0.7,32,2,1024,16,2,52
4,0.7,32,2,1024,32,2,52
4,0.7,32,2,1024,64,2,52
4,0.7,32,2,2048,2,2,84
4,0.7,32,2,2048,4,2,84
4,0.7,32,2,2048,8,2,84
4,0.7,32,2,2048,16,2,84
4,0.7,32,2,2048,32,2,84
4,0.7,32,2,2048,64,3,84
4,0.7,32,4,1024,2,2,52
4,0.7,32,4,1024,4,2,52
4,0.7,32,4,1024,8,2,52
4,0.7,32,4,1024,16,2,52
4,0.7,32,4,1024,32,2,52
4,0.7,32,4,1024,64,2,52
4,0.7,32,4,2048,2,2,84
4,0.7,32,4,2048,4,2,84
