Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
16,0.7,8,8,2048,64,3,84
16,0.7,8,16,1024,2,2,52
16,0.7,8,16,1024,4,2,52
16,0.7,8,16,1024,8,2,52
16,0.7,8,16,1024,16,2,52
16,0.7,8,16,1024,32,2,52
16,0.7,8,16,1024,64,2,52
16,0.7,8,16,2048,2,2,84
16,0.7,8,16,2048,4,2,84
16,0.7,8,16,2048,8,2,84
16,0.7,8,16,2048,16,2,84
16,0.7,8,16,2048,32,2,84
16,0.7,8,16,2048,64,3,84
16,0.8,16,2,1024,2,2,56
16,0.8,16,2,1024,4,2,56
16,0.8,16,2,1024,8,2,56
16,0.8,16,2,1024,16,2,56
16,0.8,16,2,1024,32,2,56
16,0.8,16,2,1024,64,3,56
16,0.8,16,2,2048,2,3,88
16,0.8,16,2,2048,4,3,88
16,0.8,16,2,2048,8,3,88
16,0.8,16,2,2048,16,3,88
16,0.8,16,2,2048,32,3,88
16,0.8,16,2,2048,64,3,88
16,0.7,16,4,1024,2,2,56
16,0.7,16,4,1024,4,2,56
16,0.7,16,4,1024,8,2,56
16,0.7,16,4,1024,16,2,56
16,0.7,16,4,1024,32,2,56
16,0.7,16,4,1024,64,2,56
16,0.7,16,4,2048,2,2,88
16,0.7,16,4,2048,4,2,88
16,0.7,16,4,2048,8,2,88
16,0.7,16,4,2048,16,2,88
16,0.7,16,4,2048,32,2,88
16,0.7,16,4,2048,64,3,88
16,0.6,16,8,1024,2,2,56
16,0.6,16,8,1024,4,2,56
16,0.6,16,8,1024,8,2,56
16,0.6,16,8,1024,16,2,56
16,0.6,16,8,1024,32,2,56
16,0.6,16,8,1024,64,2,56
16,0.6,16,8,2048,2,2,88
16,0.6,16,8,2048,4,2,88
16,0.6,16,8,2048,8,2,88
16,0.6,16,8,2048,16,2,88
16,0.6,16,8,2048,32,2,88
16,0.6,16,8,2048,64,2,88
16,0.6,16,16,1024,2,2,56
16,0.6,16,16,1024,4,2,56
16,0.6,16,16,1024,8,2,56
16,0.6,16,16,1024,16,2,56
16,0.6,16,16,1024,32,2,56
16,0.6,16,16,1024,64,2,56
16,0.6,16,16,2048,2,2,88
16,0.6,16,16,2048,4,2,88
16,0.6,16,16,2048,8,2,88
16,0.6,16,16,2048,16,2,88
16,0.6,16,16,2048,32,2,88
16,0.6,16,16,2048,64,2,88
16,0.6,16,32,1024,2,2,56
16,0.6,16,32,1024,4,2,56
16,0.6,16,32,1024,8,2,56
16,0.6,16,32,1024,16,2,56
16,0.6,16,32,1024,32,2,56
16,0.6,16,32,1024,64,2,56
16,0.6,16,32,2048,2,2,88
16,0.6,16,32,2048,4,2,88
16,0.6,16,32,2048,8,2,88
16,0.6,16,32,2048,16,2,88
16,0.6,16,32,2048,32,2,88
16,0.6,16,32,2048,64,2,88
